Store  [pdx]	Address	Mon	Tue	Wed	Thu	Fri	Sat	Sun
Port Orford	1819 Oregon St 97465 (541-332-0990)	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	(closed)
Portland 205	9738 SE Washington St. #S 97216 (503-254-5454)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–7pm
Portland Barbur	9875 SW Barbur Blvd. 97219 (503-246-1760)	10am–10pm	10am–10pm	10am–10pm	10am–10pm	10am–10pm	10am–10pm	11am–8pm
Portland Barnes	7365-D SW Barnes Rd 97225 (503-203-5145)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–8pm	12pm–5pm
Portland Beaumont	3334 NE Killingsworth Street 97211 (503-282-0178)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–6pm
Portland Bethany Blvd	4756 NW Bethany Blvd 97229 (503-533-5584)	(closed)	(closed)	(closed)	(closed)	(closed)	(closed)	(closed)
Portland Boise-Eliot	4375 N. Williams Ave. 97217 (503-889-0555)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–8pm	12pm–5pm
Portland Cascade Sta.	9917 NE Cascade Parkway 97220 (503-664-3500)	11am–9pm	11am–9pm	11am–9pm	11am–9pm	11am–9pm	11am–9pm	11am–9pm
Portland Cedar Mill	13528 NW Cornell Rd 97229 (503-626-2611)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–6pm
Portland Center	2075 SW First Ave, Suite 1B 97201 (503-241-9354)	10am–10pm	10am–10pm	10am–10pm	10am–10pm	10am–10pm	10am–10pm	12pm–6pm
Portland Division	16353 SE Division St, Suite 100 97236 (503-762-0227)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–7pm
Portland Downtown	550 SW Washington Street 97204 (503-227-2791)	10am–8pm	10am–8pm	10am–8pm	10am–10pm	10am–10pm	10am–10pm	(closed)
Portland Eastport	8001 SE Powell Blvd., Suite B 97206 (503-771-8535)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	11am–5pm
Portland Eleventh Ave	1040 SE Hawthorne Blvd. 97214 (503-236-2076)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–8pm	11am–5pm
Portland Gateway	10320 NE Halsey Street 97220 (503-252-4561)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	10am–6pm
Portland Hawthorne	4638 SE Hawthorne Blvd. 97215 (503-235-1573)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	10am–6pm
Portland Hillsdale	6327 SW Capitol Hwy, Suite D 97239 (503-244-4812)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	12pm–5pm
Portland Hollywood	3028 NE Sandy Blvd 97232 (503-284-0987)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–10pm	9am–10pm	12pm–7pm
Portland Jantzen Beach	11980 N Jantzen Dr. 97217 (503-283-2907)	9:30am–7:30pm	9:30am–7:30pm	9:30am–7:30pm	9:30am–7:30pm	9:30am–8pm	9:30am–8pm	10am–7pm
Portland Kenton	8221 N Denver Ave 97217 (503-285-1776)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	(closed)
Portland King Blvd	3532 NE Martin Luther King Jr. Blvd., Suite B 97212 (503-493-3473)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–9pm	11am–9pm	11am–7pm
Portland Lloyd Center	1621 NE 9th Ave 97212 (503-288-0961)	11am–9pm	11am–9pm	11am–9pm	11am–9pm	11am–9pm	11am–9pm	11am–5pm
Portland Macadam	6141 SW Macadam Ave, Suite 103 97239 (503-246-1466)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–8pm	11am–8pm	(closed)
Portland Menlo Park	11936 NE Glisan Street 97220 (503-252-3550)	9:30am–9pm	9:30am–9pm	9:30am–9pm	9:30am–9pm	9:30am–9:30pm	9:30am–9:30pm	10:30am–8pm
Portland Moreland	7207 SE Milwaukie Ave 97202 (503-235-3635)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–6pm
Portland Parkrose	4200 NE 122nd Ave 97230 (503-252-4409)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	(closed)
Portland Pearl District	900 NW Lovejoy St, Suite 140 97209 (503-477-8604)	9am–10pm	9am–10pm	9am–10pm	9am–10pm	9am–10pm	9am–10pm	12pm–8pm
Portland Powell	5120 SE Powell Blvd. 97206 (503-771-8107)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	(closed)
Portland Raleigh Hills	4967 SW 76th Avenue 97225 (503-292-1572)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–8pm	11am–5pm
Portland Rose City	7253 NE Sandy Blvd. 97213 (503-284-7591)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–10pm	9am–10pm	10am–8pm
Portland St Johns	8915 N Lombard Street 97203 (503-286-3931)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8:30pm	10am–8:30pm	11am–6pm
Portland Tenth Ave	925 SW 10th Ave 97205 (503-227-3391)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–9pm	11am–9pm	12pm–5pm
Portland Uptown	1 NW 23rd Pl 97210 (503-227-0338)	10am–9pm	10am–9pm	10am–9pm	10am–9pm	10am–9pm	10am–9pm	10am–7pm
Portland West Slope	8765 SW Canyon Ln 97225 (503-297-5118)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–8pm	11am–6pm
Portland Woodstock	4324 SE Woodstock Blvd. 97206 (503-777-3058)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	12pm–5pm
Powers	409 2nd Avenue 97466 (541-439-2321)	8am–7pm	8am–7pm	8am–7pm	8am–7pm	8am–7pm	8am–7pm	8am–7pm
Prairie City	222 NW Front Street 97869 (541-820-3588)	8am–7pm	8am–7pm	8am–7pm	8am–7pm	8am–7pm	8am–7pm	(closed)
Prineville	1350 NE 3rd Street 97754 (541-447-5844)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	11am–5pm
Prospect	500 Mill Creek Dr 97536 (541-560-3655)	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–8pm
Rainier	75928 Rockcrest 97048 (503-556-6321)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7:30pm	10am–7:30pm	11am–4pm
Redmond North	2757 NW 7th, Unit I 97756 (541-526-1335)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–6pm
Redmond South	1705 Odem Medo Rd. 97756 (541-548-2722)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–5pm
Reedsport	1311 Hwy 101 S 97467 (541-271-3412)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	(closed)
Richland	100 Main St 97870 (541-893-6176)	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–5pm
Riddle	308 N Main Street 97469 (541-874-2411)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–8pm	11am–8pm	12pm–5pm
Rockaway	422 Hwy 101 S 97136 (503-355-8330)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–8pm	12pm–5pm
Rogue River	502 E Main Street, Ste 4 97537 (541-582-3260)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–8pm	11am–5pm
Roseburg East	1350 NE Stephens Street, Ste 26 97470 (541-672-4322)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–8pm	11am–5pm
Roseburg West	780 NW Garden Valley Blvd., #84 97471 (541-672-9947)	9am–7pm	9am–7pm	9am–7pm	9am–7pm	9am–8pm	9am–7pm	11am–5pm
Salem Battlecreek	5107 Commercial St SE 97306 (503-385-1725)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	10am–7pm
Salem Downtown	263 Commercial St SE 97301 (503-364-8404)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	(closed)
Salem East	698A Lancaster Dr NE 97301 (503-581-5654)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	10am–7pm
Salem North	2829 Lancaster Dr. NE, Suite 150 97305 (503-581-1910)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	10am–6pm
Salem S Lancaster	1250 Lancaster Dr SE 97317 (503-584-1037)	9am–10pm	9am–10pm	9am–10pm	9am–10pm	9am–10pm	9am–10pm	9am–10pm
Salem South	3320 Commercial SE 97302 (503-363-5242)	8am–8pm	8am–8pm	8am–8pm	8am–8pm	8am–9pm	8am–9pm	9am–7pm
Salem West	1148 Wallace Rd NW 97304 (503-399-8554)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–7pm
Sandy	38755 Pioneer Blvd 97055 (503-668-4447)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–6pm
Scappoose	52517 Columbia River Hwy 97056 (503-543-6515)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–8pm	10am–7pm	12pm–5pm
Scio	38777 N MAIN ST 97374 (503-394-3374)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Seaside	740 Avenue H, Suite A 97138 (503-738-6641)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	12pm–5pm
Selma	110 Deer Creek Rd. 97538 (541-597-4349)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Shady Cove	22111 Highway 62 97539 (541-878-2121)	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm
Sheridan	103 E Main Street 97378 (503-843-2422)	9am–6pm	9am–6pm	9am–6pm	9am–6pm	9am–6pm	9am–6pm	(closed)
Sherwood	16350 SW Langer Dr 97140 (503-925-0467)	10:30am–7:30pm	10:30am–7:30pm	10:30am–7:30pm	10:30am–7:30pm	10:30am–8pm	10:30am–8pm	(closed)
Silver Lake	65554 Hwy 31 97638 (541-576-2131)	7am–7pm	7am–7pm	7am–7pm	7am–7pm	7am–7pm	7am–7pm	(closed)
Silverton	920 N First Street 97381 (503-873-5050)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–5pm
Sisters	111 W Cascade Avenue 97759 (541-549-9841)	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–8pm	10am–6pm
Sisters West	635 NORTH ARROWLEAF TRAIL 97759 (541-549-2222)	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm	7am–10pm
Springfield East	5511 Main St 97478 (541-726-9278)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	11am–6pm
Springfield Gateway	812 Beltline Rd. 97477 (541-736-3959)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–9pm	11am–9pm	11am–5pm
Springfield West	1408 Mohawk Blvd 97477 (541-746-4611)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	(closed)
St Helens	420 Columbia Blvd 97051 (503-397-1733)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–6pm	(closed)
Stanfield	225 Main St 97875 (541-449-3244)	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–9pm
Stayton	2520 Martin Dr 97383 (503-769-5758)	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–8pm	9am–8pm	10am–6pm
Sumpter	150 N Mill St 97877 (541-894-2362)	9am–6pm	9am–6pm	9am–6pm	9am–6pm	9am–7pm	9am–7pm	9am–6pm
Sunriver North	18160 Cottonwood Road, #222 97707 (541-593-8166)	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm
Sunriver South	57100 Beaver Dr. Bldg. 1 97707 (541-593-8113)	7am–9pm	7am–9pm	7am–9pm	7am–9pm	7am–10pm	7am–10pm	7am–9pm
Sutherlin	125 W Central Avenue 97479 (541-459-4108)	9am–7pm	9am–7pm	9am–7pm	9am–7pm	9am–7pm	9am–7pm	11am–5pm
Sweet Home	1301 Main St. 97386 (541-367-3350)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	(closed)
Talent	101 N Pacific Hwy 97540 (541-535-2522)	9am–7pm	9am–7pm	9am–7pm	9am–7pm	9am–7pm	9am–7pm	9am–7pm
Terrebonne	8150 N Hwy 97 97760 (541-923-0729)	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm	7am–8pm
The Dalles	430 Mt. Hood Street 97058 (541-298-2040)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–9pm	11am–7pm
Tigard	12490 SW Main Street 97223 (503-639-1483)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–9pm	10am–9pm	12pm–5pm
Tillamook	1905 1st St 97141 (503-842-4172)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	11am–4pm
Toledo	722 W Highway 20 97391 (541-336-2261)	9am–6pm	9am–6pm	9am–6pm	9am–6pm	9am–6pm	10am–6pm	11am–4pm
Tualatin	19265 SW Martinazzi Ave 97062 (503-612-9833)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	11am–6pm
Ukiah	202 E Main Street 97880 (541-427-3008)	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–2pm
Umatilla	1508 6th St 97882 (541-922-4730)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	11am–4pm
Union	206 S Main Street 97883 (541-562-5472)	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	10am–4pm
Unity	304 Main St 97884 (541-446-3660)	7am–7pm	7am–7pm	7am–7pm	7am–7pm	7am–7pm	7am–7pm	8am–6pm
Vale	160 Washington St E 97918 (541-473-3474)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	(closed)
Veneta	24961 Hwy 126 97487 (541-935-3224)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–4pm
Vernonia	1026 Bridge St 97064 (503-429-5651)	9am–6pm	9am–6pm	9am–6pm	9am–6pm	9am–7pm	9am–7pm	12pm–5pm
Waldport	235 Hwy 101 97394 (541-563-3727)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	(closed)
Wallowa	210 E First Street 97885 (541-886-2271)	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–6pm	(closed)
Wamic	57016 Wamic Market Rd 97063 (541-544-2333)	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	(closed)
Warrenton	1673 E Harbor Street 97146 (503-861-1103)	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	10am–7pm	11am–4pm
Wasco	1020 Clark St 97065 (541-442-5220)	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	8am–6pm	10am–2pm
Welches	68254 E Highway 26 97067 (503-622-3408)	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–7pm	11am–5pm
West Linn North	19373 SW Willamette Drive 97068 (503-697-3504)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	11am–6pm
West Linn South	21130 S. Salamo Rd 97068 (503-723-7455)	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–8pm	11am–8pm	12pm–6pm
Wheeler	327 Nehalem Blvd 97147 (503-368-4906)	10am–6pm	10am–6pm	10am–6pm	10am–6pm	10am–7pm	10am–7pm	10am–6pm
Willamina	180 NE Main St, Ste B 97396 (503-876-7700)	10am–10pm	10am–10pm	10am–10pm	10am–10pm	10am–10pm	10am–10pm	10am–7pm
Wilsonville	29955 SW Boones Ferry Rd, Ste H2 97070 (503-682-0323)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–6pm
Wilsonville North	8695 SW Jack Burns Ave., Suite C 97070 (503-454-0245)	9am–9pm	9am–9pm	9am–9pm	9am–9pm	9am–10pm	9am–10pm	10am–5pm
Winston	390 SW Douglas Blvd 97496 (541-679-7925)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–8pm	(closed)
Wood Village	2705 NE 238th Dr, Ste G 97060 (503-492-2000)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–10pm	10am–10pm	11am–6pm
Woodburn	1515 N Pacific Hwy 97071 (503-981-1227)	10am–8pm	10am–8pm	10am–8pm	10am–8pm	10am–9pm	10am–9pm	10am–6pm
